Affaire - Organisation,Affaire - ID,Affaire - Propriétaire,Affaire - Titre,Personne - 🚨 Source du lead (Obligatoire),Affaire - Affaire créée,Affaire - Valeur,Affaire - Heure de l'échec,Affaire - Date de conclusion,Affaire - Raison de la perte,Affaire - Statut,Affaire - 💼 Client ?,Organisation - ID,Organisation - Propriétaire,Organisation - Étiquette,Affaire - Fin de contrat
Eres Groupe,2347,Thibault,Affaire Eres Groupe,Prospection externe,2023-01-18 12:22:06,10000,0,0,0,En cours,🟡 En cours,138709,Thibault,Sales,0
Estp Paris,2380,Thibault,Affaire Estp Paris,Market (Formulaire),2023-02-10 16:46:49,40000,0,0,0,En cours,🟡 En cours,139556,Thibault,Sales,0
Eugène Perma,2345,Jordan Camelo,Affaire Eugène Perma,Réseau Perso,2023-01-16 16:30:44,15000,0,2023-03-24 11:14:50,0,Gagnée,💜 Client,84121,Maud,Client,0
Eumetrys,2447,Thibault,Affaire Eumetrys,Market (Formulaire),2023-04-03 18:16:07,20000,0,0,0,En cours,0,139623,Thibault,Sales,0
Eurofiber,2274,Ahmed NAFAI,Affaire Eurofiber,Market (Formulaire),2022-11-04 12:10:27,5000,2023-01-04 10:04:15,0,Plus de réponse du prospect,Perdue,❌ Deal perdu,137525,Julien Ribeiro,Sales,0
Eurostar,2436,Jordan Camelo,Affaire Eurostar,Réseau Perso,2023-03-28 17:38:45,35000,0,0,0,En cours,0,135038,Jordan Camelo,Sales,0
Eurostat Group,2205,Ahmed NAFAI,Affaire Eurostat Group,Market (Email),2022-09-15 12:18:41,5000,0,0,0,En cours,🟡 En cours,108215,Ahmed NAFAI,Sales,0
Evermind Formation,2431,Julien Ribeiro,Affaire Evermind Formation,Market (Formulaire),2023-03-22 17:21:22,1000,2023-04-19 16:46:21,0,Projet reporté,Perdue,🟡 En cours,140004,Julien Ribeiro,Sales,0
Evernex,2113,Ahmed NAFAI,Affaire Evernex,0,2022-04-07 12:17:55,11000,2022-11-14 11:54:02,0,Trop Tard,Perdue,❌ Deal perdu,48444,Charlotte,STOP,0
Evidenceb,2444,Thibault,Affaire Evidenceb,Chasse (Sales),2023-03-31 16:34:53,8000,0,0,0,En cours,0,134404,Thibault,Sales,0
Exalt,2379,Jordan Camelo,Affaire Exalt,Chasse (Sales),2023-02-10 16:24:42,35000,0,2023-03-15 16:56:28,0,Gagnée,💜 Client,128795,Pagna,Client,0
Exomind,2255,Julien Ribeiro,Affaire Exomind,Market (Formulaire),2022-10-20 14:25:38,2500,2022-11-02 11:57:24,0,Concurrent retenu (préciser lequel),Perdue,❌ Deal perdu,128803,Julien Ribeiro,STOP,0
Expering,2382,Julien Ribeiro,Affaire Expering,Market (Formulaire),2023-02-14 11:05:59,4000,0,0,0,En cours,🟡 En cours,134689,Julien Ribeiro,Sales,0
Fabentech,2289,Julien Ribeiro,Affaire Fabantech,Market (Formulaire),2022-11-10 14:41:58,4000,2022-11-28 09:36:23,0,COVID (annulation ou report),Perdue,❌ Deal perdu,137526,Julien Ribeiro,Sales,0
Factorhy,2321,Ahmed NAFAI,Affaire Factorhy AVOCATS,Prospection externe,2022-12-14 16:14:56,8000,0,2023-01-25 15:25:40,0,Gagnée,💜 Client,138353,Ahmed NAFAI,Client,0
Fairmat,2404,Ahmed NAFAI,Affaire Fairmat,Chasse (Sales),2023-03-06 10:36:43,10000,0,0,0,En cours,🟡 En cours,137722,Ahmed NAFAI,Sales,0
Falck Renewables,2402,Thibault,Affaire Falck Renewables,Chasse (Sales),2023-03-02 17:00:21,5000,0,0,0,En cours,🟡 En cours,91826,Thibault,Sales,0
Famoco,2473,Julien Ribeiro,Affaire Famoco,Market (Formulaire),2023-04-25 16:59:03,4000,0,0,0,En cours,0,140484,Julien Ribeiro,Sales,0
Ferry,2256,Ahmed NAFAI,Affaire Ferry,Market (Formulaire),2022-10-20 16:26:37,8000,0,2023-04-26 09:55:48,0,Gagnée,💜 Client,136067,Ahmed NAFAI,Client,0
Ffba,2332,Julien Ribeiro,Affaire Banque Alimentaire,Market (Formulaire),2023-01-11 10:42:47,10000,0,0,0,En cours,🟡 En cours,137533,Julien Ribeiro,Offre en cours,0
Fichet Group,2366,Jordan Camelo,Affaire Fichet Group,Prospection externe,2023-02-02 14:06:34,71000,0,0,0,En cours,🟡 En cours,90153,Jordan Camelo,Sales,0
Flexo,2267,Ahmed NAFAI,Affaire Flexo,Market (Formulaire),2022-10-27 15:53:35,10000,2022-11-10 16:06:42,0,Fonctionnalité manquante (préciser),Perdue,❌ Deal perdu,136311,Ahmed NAFAI,NURTURING,0
Focus Entertainment,2313,Jordan Camelo,Affaire Focus Entertainment,Market (Publi),2022-12-02 11:54:56,20000,2023-02-27 08:49:20,0,Prix,Perdue,❌ Deal perdu,135729,Jordan Camelo,Sales,0
Foliateam,2413,Ahmed NAFAI,Affaire Foliateam,Market (Chasse SDR ),2023-03-14 11:40:38,10000,0,0,0,En cours,🟡 En cours,136124,Ahmed NAFAI,Sales,0
Fonroche Lighting,2468,Thibault,Affaire Fonroche Lighting,Market (Formulaire),2023-04-21 10:23:42,18000,0,0,0,En cours,0,139783,Thibault,Sales,0
Fédération Générale Des Pep,2230,Ahmed NAFAI,Affaire Fédération Générale Des Pep,Market (Formulaire),2022-09-30 11:06:17,5000,2022-12-15 10:46:48,0,Plus de réponse du prospect,Perdue,❌ Deal perdu,135558,Ahmed NAFAI,Sales,0
Fédérations Des Acteurs De La Solidarités,2221,Julien Ribeiro,Affaire Fédérations Des Acteurs De La Solidarités,Market (Formulaire),2022-09-26 15:41:17,2500,0,2023-04-19 20:20:31,0,Gagnée,💜 Client,135541,Julien Ribeiro,Client,0
GIF,2429,Julien Ribeiro,Affaire GIF,Market (Formulaire),2023-03-22 10:25:32,1700,2023-04-17 11:10:13,0,Solution insuffisante (manque de confiance),Perdue,🟡 En cours,139774,Julien Ribeiro,Sales,0
Gaial,2441,Thibault,Affaire Gaial,Market (Formulaire),2023-03-31 16:23:28,3000,0,0,0,En cours,0,140027,Thibault,Sales,0
Galimmo,2438,Thibault,Affaire Galimmo,Prospection externe,2023-03-31 16:09:56,15000,0,0,0,En cours,0,133816,Thibault,Sales,0
Gallmeister,2432,Thibault,Affaire Gallmeister,Market (Formulaire),2023-03-23 11:43:32,8000,0,0,0,En cours,🟡 En cours,139991,Thibault,Sales,0
Gazfio,2152,Jordan Camelo,Affaire Gazfio,Market (Email),2022-06-07 16:50:36,10000,0,2022-09-01 17:43:32,0,Gagnée,💜 Client,130773,Maud,Client,0
Geismar,2071,Jordan Camelo,Affaire Geismar,Market (Call SDR),2022-02-01 14:02:48,35000,2023-03-28 17:15:32,0,Pas présent à l'international,Perdue,❌ Deal perdu,126925,Alisée Delon,Deal perdu,0
